"_id","_index","_score","_type",aggType,appId,appName,beginDate,endDate,frequency,"source.errcode","source.errmsg","source.list","source.ref_date"
nFYGFW4BuyEw7tbz3mhu,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 28th 2019, 08:00:00.000","October 28th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":22,""value"":1},{""key"":18,""value"":10},{""key"":29,""value"":2},{""key"":16,""value"":2},{""key"":13,""value"":211},{""key"":36,""value"":2},{""key"":10,""value"":30},{""key"":2,""value"":2},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":22,""value"":1},{""key"":18,""value"":3},{""key"":29,""value"":2},{""key"":16,""value"":1},{""key"":13,""value"":203},{""key"":36,""value"":2},{""key"":10,""value"":29},{""key"":2,""value"":2},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":7},{""key"":7,""value"":13},{""key"":6,""value"":16},{""key"":5,""value"":15},{""key"":4,""value"":31},{""key"":3,""value"":78},{""key"":2,""value"":85},{""key"":1,""value"":19}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":43},{""key"":5,""value"":4},{""key"":4,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":79},{""key"":1,""value"":135}]}]",20191028
KijgD24BuyEw7tbzg3aT,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 27th 2019, 08:00:00.000","October 27th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":7},{""key"":13,""value"":209},{""key"":10,""value"":35},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":7},{""key"":13,""value"":205},{""key"":10,""value"":35},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":3},{""key"":7,""value"":8},{""key"":6,""value"":19},{""key"":5,""value"":17},{""key"":4,""value"":35},{""key"":3,""value"":65},{""key"":2,""value"":82},{""key"":1,""value"":23}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":26},{""key"":5,""value"":2},{""key"":4,""value"":3},{""key"":3,""value"":13},{""key"":2,""value"":74},{""key"":1,""value"":134}]}]",20191027
"qCS6Cm4BIw_XuURMJ2gS","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 26th 2019, 08:00:00.000","October 26th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":9},{""key"":13,""value"":267},{""key"":10,""value"":25},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":9},{""key"":13,""value"":259},{""key"":10,""value"":24},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":15},{""key"":6,""value"":18},{""key"":5,""value"":15},{""key"":4,""value"":50},{""key"":3,""value"":73},{""key"":2,""value"":106},{""key"":1,""value"":27}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":19},{""key"":5,""value"":5},{""key"":4,""value"":2},{""key"":3,""value"":25},{""key"":2,""value"":85},{""key"":1,""value"":173}]}]",20191026
"-vWTBW4BIw_XuURMy23i","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 25th 2019, 08:00:00.000","October 25th 2019, 08:00:00.000",DAILY,61503,"data not ready, please try later hint: [8tnG0a06021556]",,
InxtAG4Br6tb5kJtb62S,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 24th 2019, 08:00:00.000","October 24th 2019, 08:00:00.000",DAILY,61503,"data not ready, please try later hint: [MVseiA02021487]",,
"umxH-20BuyEw7tbzFTQS","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 23rd 2019, 08:00:00.000","October 23rd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":13,""value"":136},{""key"":10,""value"":17},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":13,""value"":135},{""key"":10,""value"":17},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":7,""value"":4},{""key"":6,""value"":7},{""key"":5,""value"":6},{""key"":4,""value"":17},{""key"":3,""value"":42},{""key"":2,""value"":62},{""key"":1,""value"":16}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":9},{""key"":5,""value"":2},{""key"":3,""value"":8},{""key"":2,""value"":47},{""key"":1,""value"":89}]}]",20191023
lwog9m0Br6tb5kJttuJd,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 22nd 2019, 08:00:00.000","October 22nd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[]},{""index"":""access_source_visit_uv"",""item_list"":[]},{""index"":""access_staytime_info"",""item_list"":[]},{""index"":""access_depth_info"",""item_list"":[]}]",20191022
09v68G0Br6tb5kJtXNS2,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 21st 2019, 08:00:00.000","October 21st 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":4,""value"":2},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":2}]}]",20191021
McLU620Br6tb5kJtAGFh,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 20th 2019, 08:00:00.000","October 20th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[]},{""index"":""access_source_visit_uv"",""item_list"":[]},{""index"":""access_staytime_info"",""item_list"":[]},{""index"":""access_depth_info"",""item_list"":[]}]",20191020
"wq2t5m0Br6tb5kJto_Em","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 19th 2019, 08:00:00.000","October 19th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":2}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":5,""value"":1},{""key"":4,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":1}]}]",20191019
